,metrics
44,"[1, 2, 3, 0, 0, 0, 1, 0, 9, 7, 59, 0, 6, 14, 7, 6, 0, 0, 0, 0, 0, 0, 16, 0, 0, 10, 0, 6, 0, 6, 0, 6, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 29, 15, 9, 0, 2, 7, 125, 295, 10]"
45,"[1, 2, 3, 0, 0, 0, 1, 0, 9, 7, 59, 0, 6, 14, 7, 6, 0, 0, 0, 0, 0, 0, 16, 6, 0, 10, 0, 0, 0, 6, 0, 6, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 29, 15, 9, 0, 2, 7, 125, 295, 10]"
46,"[1, 2, 3, 0, 0, 1, 1, 0, 9, 7, 59, 18, 7, 14, 7, 6, 0, 0, 0, 0, 0, 0, 10, 0, 6, 10, 0, 0, 0, 6, 0, 6, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 2, 0, 0, 0, 29, 15, 9, 0, 2, 7, 139, 323, 10]"
47,"[1, 0, 0, 0, 0, 3, 1, 0, 1, 1, 16, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 9, 5, 0, 0, 0, 0, 37, 81, 8]"
48,"[1, 0, 0, 0, 0, 3, 1, 0, 1, 1, 16, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 9, 5, 0, 0, 0, 0, 37, 81, 8]"
49,"[1, 0, 0, 0, 0, 3, 1, 0, 1, 1, 16, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 0, 2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 9, 5, 0, 0, 0, 0, 37, 81, 8]"
50,"[1, 0, 0, 0, 0, 3, 1, 0, 1, 1, 16, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 5, 2, 0, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 9, 5, 0, 0, 0, 0, 37, 81, 8]"
51,"[1, 0, 0, 0, 0, 3, 1, 0, 1, 1, 16, 6, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0, 2, 3, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 9, 5, 0, 0, 0, 0, 41, 89, 8]"
52,"[1, 1, 0, 0, 0, 0, 1, 0, 5, 4, 30, 0, 4, 10, 2, 2, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 0, 0, 0, 4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 13, 7, 2, 0, 0, 2, 65, 154, 10]"
53,"[1, 1, 0, 0, 0, 0, 1, 0, 5, 4, 30, 0, 4, 10, 2, 2, 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 4, 0, 0, 4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 13, 7, 2, 0, 0, 2, 65, 154, 10]"
54,"[1, 1, 0, 0, 0, 0, 1, 0, 5, 4, 30, 0, 4, 10, 2, 2, 0, 0, 0, 0, 0, 0, 9, 0, 0, 5, 0, 4, 0, 4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 13, 7, 2, 0, 0, 2, 65, 154, 10]"
55,"[1, 1, 0, 0, 0, 0, 1, 0, 5, 4, 30, 0, 4, 10, 2, 2, 0, 0, 0, 0, 0, 0, 9, 4, 0, 5, 0, 0, 0, 4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 13, 7, 2, 0, 0, 2, 65, 154, 10]"
56,"[1, 1, 0, 0, 0, 1, 1, 0, 5, 4, 30, 12, 5, 10, 2, 2, 0, 0, 0, 0, 0, 0, 5, 0, 4, 5, 0, 0, 0, 4, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 13, 7, 2, 0, 0, 2, 75, 174, 10]"
57,"[1, 0, 0, 0, 0, 3, 1, 0, 1, 1, 12, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 31, 68, 7]"
58,"[1, 0, 0, 0, 0, 3, 1, 0, 1, 1, 12, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 2, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 31, 68, 7]"
59,"[1, 0, 0, 0, 0, 3, 1, 0, 1, 1, 12, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 31, 68, 7]"
60,"[1, 0, 0, 0, 0, 3, 1, 0, 1, 1, 12, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 5, 2, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 31, 68, 7]"
61,"[1, 0, 0, 0, 0, 3, 1, 0, 1, 1, 12, 6, 2, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3, 0, 2, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 35, 76, 7]"
62,"[1, 1, 0, 0, 0, 0, 1, 0, 3, 2, 15, 0, 2, 3, 2, 2, 0, 0, 0, 0, 0, 0, 7, 0, 0, 6, 0, 0, 1, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 2, 1, 41, 92, 10]"
63,"[1, 1, 0, 0, 0, 0, 1, 0, 3, 2, 15, 0, 2, 3, 2, 2, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 2, 0, 1, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 2, 1, 41, 92, 10]"
64,"[1, 1, 0, 0, 0, 0, 1, 0, 3, 2, 15, 0, 2, 3, 2, 2, 0, 0, 0, 0, 0, 0, 7, 0, 0, 4, 0, 2, 1, 2, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 3, 0, 1, 0, 2, 1, 41, 92, 10]"
65,"[1, 3, 0, 0, 0, 1, 1, 0, 7, 4, 47, 0, 8, 16, 4, 4, 0, 1, 1, 0, 0, 0, 12, 0, 0, 10, 0, 0, 2, 5, 0, 4, 0, 0, 0, 0, 2, 3, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 17, 5, 3, 0, 1, 3, 103, 241, 13]"
66,"[1, 3, 0, 0, 0, 1, 1, 0, 7, 4, 47, 0, 8, 16, 4, 4, 0, 1, 1, 0, 0, 0, 12, 0, 0, 6, 4, 0, 2, 5, 0, 4, 0, 0, 0, 0, 2, 3, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 17, 5, 3, 0, 1, 3, 103, 241, 13]"
67,"[1, 3, 0, 0, 0, 1, 1, 0, 7, 4, 47, 0, 8, 16, 4, 4, 0, 1, 1, 0, 0, 0, 12, 0, 0, 6, 0, 4, 2, 5, 0, 4, 0, 0, 0, 0, 2, 3, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 17, 5, 3, 0, 1, 3, 103, 241, 13]"
68,"[1, 3, 0, 0, 0, 1, 1, 0, 7, 4, 41, 0, 9, 12, 4, 4, 0, 1, 1, 0, 0, 0, 12, 0, 0, 9, 0, 0, 3, 5, 0, 4, 0, 0, 0, 0, 1, 3, 0, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, 16, 5, 3, 0, 1, 3, 97, 225, 13]"
69,"[2, 3, 1, 0, 0, 0, 2, 0, 8, 5, 46, 0, 15, 14, 6, 6, 0, 3, 2, 0, 0, 0, 15, 0, 0, 12, 0, 0, 3, 9, 0, 3, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 19, 13, 4, 1, 3, 4, 115, 274, 14]"
70,"[2, 3, 1, 0, 0, 0, 2, 0, 8, 5, 46, 0, 15, 14, 6, 6, 0, 3, 2, 0, 0, 0, 15, 0, 0, 11, 1, 0, 3, 9, 0, 3, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 19, 13, 4, 1, 3, 4, 115, 274, 14]"
71,"[2, 3, 1, 0, 0, 0, 2, 0, 8, 5, 46, 0, 15, 14, 6, 6, 0, 3, 2, 0, 0, 0, 15, 0, 0, 11, 0, 1, 3, 9, 0, 3, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 19, 13, 4, 1, 3, 4, 115, 274, 14]"
72,"[2, 3, 1, 0, 0, 0, 2, 0, 8, 5, 46, 0, 14, 14, 6, 6, 0, 3, 2, 0, 0, 0, 15, 0, 0, 11, 0, 0, 4, 9, 0, 3, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 18, 13, 4, 1, 3, 4, 113, 270, 14]"
73,"[0, 4, 1, 0, 0, 2, 1, 0, 7, 7, 59, 0, 3, 14, 5, 5, 0, 0, 0, 1, 0, 0, 13, 0, 0, 13, 0, 0, 0, 10, 2, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 2, 0, 0, 2, 111, 262, 11]"
74,"[0, 4, 1, 0, 0, 2, 1, 0, 7, 7, 59, 0, 3, 14, 5, 5, 0, 0, 0, 1, 0, 0, 13, 0, 0, 8, 5, 0, 0, 10, 2, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 2, 0, 0, 2, 111, 262, 11]"
75,"[0, 4, 1, 0, 0, 2, 1, 0, 7, 7, 59, 0, 3, 14, 5, 5, 0, 0, 0, 1, 0, 0, 13, 0, 0, 8, 0, 5, 0, 10, 2, 2, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 2, 0, 0, 2, 111, 262, 11]"
